BindingDB Reactant_set_id,IC50 (nM)
50865265,0.03
50656563,0.033
50499931,0.035
50466857,0.035
50497673,0.035
50129461,0.062
51059755,0.093
50362412,0.14
50362411,0.15
50609543,0.16
50974114,0.16
50656564,0.16
51059756,0.19
51017601,0.2
51017625,0.2
50115017,0.2
50115027,0.2
50115028,0.2
51017585,0.2
50865232,0.2
50866115,0.2
50866131,0.2
50866133,0.2
51017583,0.2
50115034,0.2
50362379,0.22
50609533,0.25
50866096,0.3
50929120,0.3
50866127,0.3
50866121,0.3
399286,0.3
50866116,0.3
51017589,0.302
51017610,0.302
51017600,0.302
51017595,0.302
50609535,0.34
50362373,0.36
50865964,0.37
51017622,0.372
50066713,0.4
50115032,0.4
50115021,0.4
50115019,0.4
51017620,0.447
50865967,0.45
50358910,0.46
50433665,0.48
50865961,0.48
50924772,3
50930484,3
50930485,3
50930486,3
50930491,3
50930531,3
50930532,3
50216170,3
50866103,3
50866104,3
50866109,3
50866795,3
50863678,3
50856120,3
50865229,3
50626194,3
50626201,3
50651005,3
50609539,3
50578421,3
154764,3
154772,3
50450206,3
50450213,3
50427161,3
50427162,3
50427163,3
50420328,3
50420329,3
50419200,3
50377923,3
50411525,3
50411528,3
50356344,3
50390554,3
50382084,3
50356292,3
50359502,3
50297428,3
50846417,3
50498670,3
50499756,3
408992,3
50499960,3
50498637,3
399332,3
399338,3
399349,3
399357,3
399313,3
32006,420
259706,420
10072,420
50544492,420
50446857,420
50457850,420
31859,420
266596,423
357187,423
50109369,425
259647,427
50332883,430
50337870,430
50277019,430
50165116,430
50164949,430
260765,430
50948753,430
50631414,430
50908421,430
50445862,430
50357991,430
9473,430
50950659,431
176888,433
410120,434
27463,435
14905,435
50581409,435
50066866,436
50385039,440
50369388,440
50369404,440
50330445,440
50331705,440
50331710,440
259924,440
16168,440
50449173,440
50446883,440
50380065,440
50486627,440
50485028,440
16166,440
50097667,442
50378409,442
377141,443
50349535,444
27509,446.68
357139,448
259785,448
259810,449
7516,450
218173,450
50651018,450
266561,450
50385240,450
50385067,450
50498647,450
50424104,450
50561409,451
259788,453
50713708,453.41
273979,454
412745,454
259770,455
259782,455
50461240,455
50376910,455
50660033,455
50066648,456
50378413,456
266577,457
389858,457
266576,458
50349600,459
50388093,460
50446909,460
260767,460
50477673,460
50475493,460
50505206,460
27483,461
50359508,461
